email;size;first name;last name;Address;Post code;Card number;exp date;cvv;phone;region
dimitrisloatkismanalis@beskim.com;44;Dimitris;Manalis;Hansen 28-30;11144;4263982640269290,00;03/23;234;6942636852;______
fakeemail2@beskim.com;44;Konstantinos;Stella;Neofytos;12344;4263982640269290,00;03/23;234;6944197212;______
fakeemail3@beskim.com;44;Athanasios;Vasiliki;Vlassis;12344;4263982640269290,00;03/23;234;6944197212;______
fakeemail4@beskim.com;44;Koralia;Ioannis;Aleka;12344;4263982640269290,00;03/23;234;6944197212;______
fakeemail5@beskim.com;44;Natalia;Gerasimos;Giannis;12344;4263982640269290,00;03/23;234;6944197212;______
fakeemail6@beskim.com;44;Aniketos;Venetia;Konstadina;12344;4263982640269290,00;03/23;234;6944197212;______
fakeemail7@beskim.com;44;Anna;Diamanto;Chara;12344;4263982640269290,00;03/23;234;6944197212;______
fakeemail8@beskim.com;44;Vasilios;Martha;Nicolaos;12344;4263982640269290,00;03/23;234;6944197212;______
fakeemail9@beskim.com;44;Andreas;Serafeim;Alex;12344;4263982640269290,00;03/23;234;6944197212;______
fakeemail10@beskim.com;44;Evelina;Vasileios;Andreas;12344;4263982640269290,00;03/23;234;6944197212;______
;;;;;;;;;;
