email,size,first name,last name,Address,post code,card number,exp date,cvv,Phone,Region
fakeemail1@beskim.com,44,Nikoleta,Michalis,Viktor,12344,4263982640269299,02/23,234,6944197212,ΑΤΤΙΚΗ
fakeemail2@beskim.com,44,Konstantinos,Stella,Neofytos,12344,4263982640269299,02/23,234,6944197212,ΑΤΤΙΚΗ
fakeemail3@beskim.com,44,Athanasios,Vasiliki,Vlassis,12344,4263982640269299,02/23,234,6944197212,ΑΤΤΙΚΗ
fakeemail4@beskim.com,44,Koralia,Ioannis,Aleka,12344,4263982640269299,02/23,234,6944197212,ΑΤΤΙΚΗ
fakeemail5@beskim.com,44,Natalia,Gerasimos,Giannis,12344,4263982640269299,02/23,234,6944197212,ΑΤΤΙΚΗ
fakeemail6@beskim.com,44,Aniketos,Venetia,Konstadina,12344,4263982640269299,02/23,234,6944197212,ΑΤΤΙΚΗ
fakeemail7@beskim.com,44,Anna,Diamanto,Chara,12344,4263982640269299,02/23,234,6944197212,ΑΤΤΙΚΗ
fakeemail8@beskim.com,44,Vasilios,Martha,Nicolaos,12344,4263982640269299,02/23,234,6944197212,ΑΤΤΙΚΗ
fakeemail9@beskim.com,44,Andreas,Serafeim,Alex,12344,4263982640269299,02/23,234,6944197212,ΑΤΤΙΚΗ
fakeemail10@beskim.com,44,Evelina,Vasileios,Andreas,12344,4263982640269299,02/23,234,6944197212,ΑΤΤΙΚΗ
